Episode 0       Average Score: 5.54
Episode 1       Average Score: 6.24
Episode 2       Average Score: 7.53
Episode 3       Average Score: 7.90
Episode 4       Average Score: -19.06
Episode 5       Average Score: -15.73
Episode 6       Average Score: -14.25
Episode 7       Average Score: -11.96
Episode 8       Average Score: -10.62
Episode 9       Average Score: -8.87
Episode 10      Average Score: -9.19
Episode 11      Average Score: -8.88
Episode 12      Average Score: -8.99
Episode 13      Average Score: -9.47
Episode 14      Average Score: 3.59
Episode 15      Average Score: 3.79
Episode 16      Average Score: 4.67
Episode 17      Average Score: 4.41
Episode 18      Average Score: 5.13
Episode 19      Average Score: 5.50
Episode 20      Average Score: 5.73
Episode 21      Average Score: 3.90
Episode 22      Average Score: 3.46
Episode 23      Average Score: 3.79
Episode 24      Average Score: 3.38
Episode 25      Average Score: 3.69
Episode 26      Average Score: 3.69
Episode 27      Average Score: 3.87
Episode 28      Average Score: 3.14
Episode 29      Average Score: 2.29
Episode 30      Average Score: 2.64
Episode 31      Average Score: 3.45
Episode 32      Average Score: 3.43
Episode 33      Average Score: 2.11
Episode 34      Average Score: 2.57
Episode 35      Average Score: 2.02
Episode 36      Average Score: 2.00
Episode 37      Average Score: 2.40
Episode 38      Average Score: 2.94
Episode 39      Average Score: 3.18
Episode 40      Average Score: 3.09
Episode 41      Average Score: 3.67
Episode 42      Average Score: 4.13
Episode 43      Average Score: 4.54
Episode 44      Average Score: 4.21
Episode 45      Average Score: 4.68
Episode 46      Average Score: 5.43
Episode 47      Average Score: 5.02
Episode 48      Average Score: 5.28
Episode 49      Average Score: 4.74
Episode 50      Average Score: 4.16
Episode 51      Average Score: 4.49
Episode 52      Average Score: 4.57
Episode 53      Average Score: 5.21
Episode 54      Average Score: 5.70
Episode 55      Average Score: 5.31
Episode 56      Average Score: 5.01
Episode 57      Average Score: 5.40
Episode 58      Average Score: 3.92
Episode 59      Average Score: 4.52
Episode 60      Average Score: 3.89
Episode 61      Average Score: 3.47
Episode 62      Average Score: 2.99
Episode 63      Average Score: 3.34
Episode 64      Average Score: 3.77
Episode 65      Average Score: 4.01
Episode 66      Average Score: 3.75
Episode 67      Average Score: 3.11
Episode 68      Average Score: 4.74
Episode 69      Average Score: 4.34
Episode 70      Average Score: 5.18
Episode 71      Average Score: 4.30
Episode 72      Average Score: 3.90
Episode 73      Average Score: 2.94
Episode 74      Average Score: 2.22
Episode 75      Average Score: 0.83
Episode 76      Average Score: 1.08
Episode 77      Average Score: 0.97
Episode 78      Average Score: 0.45
Episode 79      Average Score: 0.21
Episode 80      Average Score: 0.23
Episode 81      Average Score: 1.43
Episode 82      Average Score: 1.89
Episode 83      Average Score: 1.37
Episode 84      Average Score: 1.93
Episode 85      Average Score: 3.97
Episode 86      Average Score: 4.28
Episode 87      Average Score: 5.21
Episode 88      Average Score: 5.35
Episode 89      Average Score: 6.41
Episode 90      Average Score: 6.20
Episode 91      Average Score: 5.78
Episode 92      Average Score: 6.14
Episode 93      Average Score: 7.20
Episode 94      Average Score: 7.12
Episode 95      Average Score: 7.05
Episode 96      Average Score: 6.81
Episode 97      Average Score: 5.35
Episode 98      Average Score: 4.66
Episode 99      Average Score: 4.59
Episode 100     Average Score: 5.00
Episode 101     Average Score: 5.15
Episode 102     Average Score: 4.61
Episode 103     Average Score: 3.66
Episode 104     Average Score: 3.26
Episode 105     Average Score: 3.26
Episode 106     Average Score: 2.35
Episode 107     Average Score: 4.03
Episode 108     Average Score: 3.26
Episode 109     Average Score: 2.42
Episode 110     Average Score: 2.21
Episode 111     Average Score: 2.48
Episode 112     Average Score: 2.64
Episode 113     Average Score: 3.53
Episode 114     Average Score: 2.76
Episode 115     Average Score: 2.27
Episode 116     Average Score: 2.34
Episode 117     Average Score: 2.11
Episode 118     Average Score: 3.40
Episode 119     Average Score: 3.66
Episode 120     Average Score: 3.59
Episode 121     Average Score: 3.57
Episode 122     Average Score: 3.96
Episode 123     Average Score: 4.65
Episode 124     Average Score: 2.31
Episode 125     Average Score: 2.68
Episode 126     Average Score: 2.70
Episode 127     Average Score: 2.27
Episode 128     Average Score: 2.33
Episode 129     Average Score: 1.37
Episode 130     Average Score: 1.31
Episode 131     Average Score: 0.71
Episode 132     Average Score: 0.14
Episode 133     Average Score: -0.45
Episode 134     Average Score: 1.74
Episode 135     Average Score: 1.73
Episode 136     Average Score: 2.20
Episode 137     Average Score: 2.10
Episode 138     Average Score: 2.54
Episode 139     Average Score: 3.80
Episode 140     Average Score: 3.99
Episode 141     Average Score: 4.17
Episode 142     Average Score: 3.76
Episode 143     Average Score: 3.75
Episode 144     Average Score: 4.70
Episode 145     Average Score: 4.41
Episode 146     Average Score: 4.31
Episode 147     Average Score: 4.33
Episode 148     Average Score: 4.29
Episode 149     Average Score: 4.75
Episode 150     Average Score: 5.05
Episode 151     Average Score: 5.21
Episode 152     Average Score: 6.17
Episode 153     Average Score: 5.40
Episode 154     Average Score: 5.06
Episode 155     Average Score: 4.51
Episode 156     Average Score: 5.01
Episode 157     Average Score: 5.56
Episode 158     Average Score: 4.30
Episode 159     Average Score: 3.33
Episode 160     Average Score: 3.50
Episode 161     Average Score: 3.78
Episode 162     Average Score: 3.72
Episode 163     Average Score: 4.05
Episode 164     Average Score: 4.79
Episode 165     Average Score: 5.74
Episode 166     Average Score: 5.85
