Episode 0       Average Score: 24.80
Episode 1       Average Score: -2736.12
Episode 2       Average Score: -1806.27
Episode 3       Average Score: -1347.36
Episode 4       Average Score: -1069.66
Episode 5       Average Score: -886.90
Episode 6       Average Score: -758.61
Episode 7       Average Score: -660.57
Episode 8       Average Score: -582.54
Episode 9       Average Score: -520.78
Episode 10      Average Score: -519.36
Episode 11      Average Score: 33.81
Episode 12      Average Score: 30.37
Episode 13      Average Score: 32.35
Episode 14      Average Score: -7637.88
Episode 15      Average Score: -15171.65
Episode 16      Average Score: -23948.30
Episode 17      Average Score: -32310.50
Episode 18      Average Score: -40666.03
Episode 19      Average Score: -48804.46
Episode 20      Average Score: -48811.21
Episode 21      Average Score: -48810.47
Episode 22      Average Score: -57263.98
Episode 23      Average Score: -65812.57
Episode 24      Average Score: -58229.73
Episode 25      Average Score: -59190.80
Episode 26      Average Score: -50423.59
Episode 27      Average Score: -50707.07
Episode 28      Average Score: -51194.64
Episode 29      Average Score: -51684.94
Episode 30      Average Score: -60404.69
Episode 31      Average Score: -68898.88
Episode 32      Average Score: -68926.38
Episode 33      Average Score: -60380.79
Episode 34      Average Score: -60293.99
Episode 35      Average Score: -51799.75
Episode 36      Average Score: -51787.57
Episode 37      Average Score: -43140.23
Episode 38      Average Score: -34661.21
Episode 39      Average Score: -26032.30
Episode 40      Average Score: -17307.16
Episode 41      Average Score: -17294.54
Episode 42      Average Score: -8812.50
Episode 43      Average Score: -8810.67
Episode 44      Average Score: -8809.15
Episode 45      Average Score: -8808.91
Episode 46      Average Score: -8809.14
Episode 47      Average Score: -8810.72
Episode 48      Average Score: -8446.61
Episode 49      Average Score: -8446.18
Episode 50      Average Score: -8444.09
Episode 51      Average Score: 37.72
Episode 52      Average Score: 38.15
Episode 53      Average Score: -502.45
Episode 54      Average Score: -511.97
Episode 55      Average Score: -510.94
Episode 56      Average Score: -512.14
Episode 57      Average Score: -511.56
Episode 58      Average Score: -513.06
Episode 59      Average Score: -512.58
Episode 60      Average Score: -514.33
Episode 61      Average Score: -514.13
Episode 62      Average Score: -515.64
Episode 63      Average Score: 25.67
Episode 64      Average Score: -303.97
Episode 65      Average Score: -304.66
Episode 66      Average Score: -301.95
Episode 67      Average Score: -303.30
Episode 68      Average Score: -667.50
Episode 69      Average Score: -670.46
Episode 70      Average Score: -680.84
Episode 71      Average Score: -682.23
Episode 72      Average Score: -681.78
Episode 73      Average Score: -682.11
Episode 74      Average Score: -380.16
Episode 75      Average Score: -379.45
Episode 76      Average Score: -399.77
Episode 77      Average Score: -397.89
